Year,Quantity
2015,39919
2014,39432
2013,41054
2012,36342
2011,36836
2010,34004
2009,29298
2008,27110
2007,28481
2006,29808
2005,26643
2004,26803
2003,25797
2002,26138
2001,25939
2000,23055
1999,21043
1998,23236
1997,26700
1996,17535
1995,18312
1994,19967
1993,15660
1992,13432
1991,13135
1990,10585
1989,10101
1988,12679
1987,9709
1986,11204
1985,10377
1984,9528
1983,10948
1982,10089
1981,10360
1980,11900
1979,11173
1978,11383
1977,9171
1976,9458
1975,8520
1974,7634
1973,7986
1972,7911
1971,8349
1970,7818
1969,7642
1968,6976
1967,6597
1966,6955
1965,7421
1964,7306
1963,7390
1962,6731
1961,6038
1960,5889
